ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
231,St. Francis,NEC,Low,40.5045,-78.6411,DeGol Arena,3500,,,Saint Francis U Red Flash
232,St. Francis Brooklyn,NEC,Low,40.693147,-73.992164,Generoso Pope Athletic Complex,1200,,,St. Francis Brooklyn Terriers
233,Wagner,NEC,Low,40.615,-74.095833,Spiro Sports Center,2100,,,Wagner Seahawks
234,Austin Peay,OVC,Low,36.536111,-87.356944,Dunn Center,9000,,1975,Austin Peay Governors
235,Belmont,OVC,Low,36.132222,-86.794444,Curb Event Center,5085,,,Belmont Bruins
236,Eastern Illinois,OVC,Low,39.480403,-88.178844,Lantz Arena,5400,,,Eastern Illinois Panthers
237,Eastern Kentucky,OVC,Low,37.737429,-84.301143,Alumni Coliseum,6500,,,Eastern Kentucky Colonels
238,Jacksonville State,OVC,Low,33.824,-85.773,Pete Mathews Coliseum,5300,,1974,Jacksonville State Gamecocks
239,Morehead State,OVC,Low,38.188786,-83.429006,Ellis Johnson Arena,6500,,1981,Morehead State Eagles
240,Murray State,OVC,Low,36.62267,-88.32031,CFSB Center,8602,,,Murray State Racers
241,SIU-Edwardsville,OVC,Low,38.795989,-89.999883,Vadalabene Center,4000,,,SIUE Cougars
242,Southeast Missouri State,OVC,Low,37.32,-89.5271,Show Me Center,6972,,,Southeast Missouri State Redhawks
243,Tennessee State,OVC,Low,36.168889,-86.829444,Gentry Complex,10500,,,Tennessee State Tigers
244,Tennessee Tech,OVC,Low,36.17848,-85.50989,Eblen Center,10152,,,Tennessee Tech Golden Eagles
245,Tennessee-Martin,OVC,Low,36.34351,-88.868043,Kathleen and Tom Elam Center,7000,,,UT Martin Skyhawks
246,Arizona,Pac 12,High,32.2303,-110.94595,McKale Center,14545,,,Arizona Wildcats
247,Arizona State,Pac 12,High,33.424524,-111.930948,Wells Fargo Arena,10754,,,Arizona State Sun Devils
248,California,Pac 12,High,37.869394,-122.262194,Haas Pavilion,11877,,1933,California Golden Bears
249,Colorado,Pac 12,High,40.004639,-105.260583,Coors Event Center,11064,,,Colorado Buffaloes
250,Oregon,Pac 12,High,44.045,-123.066,Matthew Knight Arena,12541,,,Oregon Ducks
251,Oregon State,Pac 12,High,44.561361,-123.280226,Gill Coliseum,10400,,,Oregon State Beavers
252,Southern California,Pac 12,High,34.02125,-118.28032,Galen Center,10258,,,USC Trojans
