ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
210,Northern Iowa,MVC,Mid,42.51395,-92.46714,McLeod Center,6650,,,UNI Panthers
211,Southern Illinois,MVC,Mid,37.708333,-89.218611,SIU Arena,8339,,,Southern Illinois Salukis
212,Wichita State,MVC,Mid,37.721667,-97.2975,Charles Koch Arena,10506,,,Wichita State Shockers
213,Air Force,MWC,Mid,39.014,-104.884,Clune Arena,5858,,,Air Force Falcons
214,Boise State,MWC,Mid,43.603567,-116.198892,Taco Bell Arena,12480,,,Boise State Broncos
215,Colorado State,MWC,Mid,40.575669,-105.093403,Moby Arena,8745,,,Colorado State Rams
216,Fresno State,MWC,Mid,36.809722,-119.738611,Save Mart Center,15544,,,Fresno State Bulldogs
217,Nevada,MWC,Mid,39.545069,-119.818269,Lawlor Events Center,11536,,,Nevada Wolf Pack
218,New Mexico,MWC,Mid,35.066936,-106.632308,The Pit,14831,,,New Mexico Lobos
219,San Diego State,MWC,Mid,32.77375,-117.074583,Viejas Arena,12414,,,San Diego State Aztecs
220,San Jose State,MWC,Low,37.33536,-121.87985,Event Center Arena,5000,,1989,San Jose State Spartans
221,UNLV,MWC,Mid,36.105,-115.144167,Thomas & Mack Center,18776,,1983,UNLV Runnin' Rebels
222,Utah State,MWC,Low,41.74768,-111.81197,Smith Spectrum,10270,,,Utah State Aggies
223,Wyoming,MWC,Mid,41.313344,-105.569419,Arena-Auditorium,15028,,,Wyoming Cowboys
224,Bryant University,NEC,Low,41.921008,-71.539639,Chace Athletic Center,2700,,,Bryant Bulldogs
225,Central Connecticut State,NEC,Low,41.693,-72.7649,William H. Detrick Gymnasium,2654,,,Central Connecticut State Blue Devils
226,Fairleigh Dickinson,NEC,Low,40.896022,-74.034817,Rothman Center,5000,,1987,Fairleigh Dickinson Knights
227,LIU-Brooklyn,NEC,Low,40.69059,-73.979176,"Wellness, Recreation & Athletics Center",2500,,2006,LIU Brooklyn Blackbirds
228,Mount St. Mary's,NEC,Low,39.679492,-77.346435,Knott Arena,3121,,,Mount St. Mary's Mountaineers
229,Robert Morris,NEC,Low,40.520212,-80.21476,Charles L. Sewall Center,3056,,,Robert Morris Colonials
230,Sacred Heart,NEC,Low,41.219439,-73.244628,William H. Pitt Center,2062,,,Sacred Heart Pioneers
